,cod_new,dsg_new,cod_old,dsg_old,Designação antiga,Observações (até 2013),Observações (após 2013),Concelho,Unnamed: 8,Unnamed: 9
2516,130147,VILA MEÃ,130127,REAL,,,,AMARANTE,,
2517,130148,"UNIÃO DAS FREGUESIAS DE VILA GARCIA, ABOIM E CHAPA",130102,ABOIM,,,,AMARANTE,,
2518,130148,"UNIÃO DAS FREGUESIAS DE VILA GARCIA, ABOIM E CHAPA",130111,CHAPA,,,,AMARANTE,,
2519,130148,"UNIÃO DAS FREGUESIAS DE VILA GARCIA, ABOIM E CHAPA",130140,VILA GARCIA,,,,AMARANTE,,
2520,130204,FRENDE,130204,FRENDE,,,,BAIAO,,
2521,130205,GESTAÇÔ,130205,GESTAÇÔ,,,Alteração do limite (L. 45/2015 de 4 junho) ,BAIAO,,
2522,130206,GOVE,130206,GOVE,,,Alteração do limite (L. 45/2017 de 22 junho ) ,BAIAO,,
2523,130207,GRILO,130207,GRILO,,,,BAIAO,,
2524,130208,LOIVOS DO MONTE,130208,LOIVOS DO MONTE,,,,BAIAO,,
2525,130215,SANTA MARINHA DO ZÊZERE,130215,SANTA MARINHA DO ZÊZERE,,"VILA (L. 101/91, DE 16 AGO.); EM 1952 DEU ORIGEM À FREG. DE S. PEDRO DA AFURADA (DEC. L. 38637, DE 9 FEV.)",,BAIAO,,
2526,130219,VALADARES,130219,VALADARES,,,,BAIAO,,
2527,130220,VIARIZ,130220,VIARIZ,,,,BAIAO,,
2528,130221,UNIÃO DAS FREGUESIAS DE ANCEDE E RIBADOURO,130201,ANCEDE,,"VILA (L. 43/2009, DE 3 AGO)",Alteração do limite (L. 46/2015 de 4 junho e L. 45/2017 de 22 junho),BAIAO,,
2529,130221,UNIÃO DAS FREGUESIAS DE ANCEDE E RIBADOURO,130212,RIBADOURO,,"FREG. (DEC. L. 29462, DE 25 FEV. 1939), COM A SEDE EM PORTO MANSO",,BAIAO,,
2530,130222,UNIÃO DAS FREGUESIAS DE BAIÃO (SANTA LEOCÁDIA) E MESQUINHATA,130210,MESQUINHATA,,,Alteração do limite (L. 46/2015 de 4 junho) ,BAIAO,,
2531,130222,UNIÃO DAS FREGUESIAS DE BAIÃO (SANTA LEOCÁDIA) E MESQUINHATA,130214,BAIÃO (SANTA LEOCÁDIA),,,,BAIAO,,
2532,130223,UNIÃO DAS FREGUESIAS DE CAMPELO E OVIL,130202,CAMPELO,,,,BAIAO,,
2533,130223,UNIÃO DAS FREGUESIAS DE CAMPELO E OVIL,130211,OVIL,,,,BAIAO,,
2534,130224,UNIÃO DAS FREGUESIAS DE LOIVOS DA RIBEIRA E TRESOURAS,130209,LOIVOS DA RIBEIRA,,,,BAIAO,,
2535,130224,UNIÃO DAS FREGUESIAS DE LOIVOS DA RIBEIRA E TRESOURAS,130218,TRESOURAS,,,,BAIAO,,
2536,130225,UNIÃO DAS FREGUESIAS DE SANTA CRUZ DO DOURO E SÃO TOMÉ DE COVELAS,130213,SANTA CRUZ DO DOURO,,,,BAIAO,,
2537,130225,UNIÃO DAS FREGUESIAS DE SANTA CRUZ DO DOURO E SÃO TOMÉ DE COVELAS,130203,SÃO TOMÉ DE COVELAS,,,,BAIAO,,
2538,130226,UNIÃO DAS FREGUESIAS DE TEIXEIRA E TEIXEIRÓ,130216,TEIXEIRA,,,Alteração do limite (L. 45/2015 de 4 junho) ,BAIAO,,
2539,130226,UNIÃO DAS FREGUESIAS DE TEIXEIRA E TEIXEIRÓ,130217,TEIXEIRÓ,,,,BAIAO,,
2540,130301,AIÃO,130301,AIÃO,,,,FELGUEIRAS,,
2541,130302,AIRÃES,130302,AIRÃES,,,,FELGUEIRAS,,
2542,130305,FRIANDE,130305,FRIANDE,,,,FELGUEIRAS,,
2543,130306,IDÃES,130306,IDÃES,,,,FELGUEIRAS,,
2544,130307,JUGUEIROS,130307,JUGUEIROS,,,,FELGUEIRAS,,
2545,130313,PENACOVA,130313,PENACOVA,,,,FELGUEIRAS,,
2546,130314,PINHEIRO,130314,PINHEIRO,,,,FELGUEIRAS,,
2547,130315,POMBEIRO DE RIBAVIZELA,130315,POMBEIRO DE RIBAVIZELA,,,,FELGUEIRAS,,
2548,130317,REFONTOURA,130317,REFONTOURA,,,,FELGUEIRAS,,
2549,130318,REGILDE,130318,REGILDE,,,,FELGUEIRAS,,
2550,130319,REVINHADE,130319,REVINHADE,,,,FELGUEIRAS,,
2551,130324,SENDIM,130324,SENDIM,,,,FELGUEIRAS,,
2552,130334,UNIÃO DAS FREGUESIAS DE MACIEIRA DA LIXA E CARAMOS,130304,CARAMOS,,,,FELGUEIRAS,,
2553,130334,UNIÃO DAS FREGUESIAS DE MACIEIRA DA LIXA E CARAMOS,130310,MACIEIRA DA LIXA,,,,FELGUEIRAS,,
2554,130335,"UNIÃO DAS FREGUESIAS DE MARGARIDE (SANTA EULÁLIA), VÁRZEA, LAGARES, VARZIELA E MOURE",130308,LAGARES,,,,FELGUEIRAS,,
